# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
103           	2.758730e-03	2.259165e+01	3.459241e-03	4.488351e-03	-1.029110e-03
104           	2.799566e-03	2.249342e+01	3.511232e-03	4.555182e-03	-1.043951e-03
105           	2.840749e-03	2.239668e+01	3.563602e-03	4.622551e-03	-1.058948e-03
106           	2.882381e-03	2.230141e+01	3.616654e-03	4.690708e-03	-1.074053e-03
107           	2.924316e-03	2.220758e+01	3.670208e-03	4.759420e-03	-1.089212e-03
108           	2.966529e-03	2.211514e+01	3.724109e-03	4.828583e-03	-1.104474e-03
109           	3.009119e-03	2.202408e+01	3.778468e-03	4.898353e-03	-1.119885e-03
110           	3.052150e-03	2.193435e+01	3.833545e-03	4.968923e-03	-1.135378e-03
111           	3.095646e-03	2.184584e+01	3.891354e-03	5.041323e-03	-1.149969e-03
112           	3.139038e-03	2.175887e+01	3.943610e-03	5.110844e-03	-1.167233e-03
113           	3.183638e-03	2.167287e+01	4.003351e-03	5.185314e-03	-1.181963e-03
114           	3.227739e-03	2.158836e+01	4.057195e-03	5.256336e-03	-1.199141e-03
115           	3.272986e-03	2.150479e+01	4.117904e-03	5.331938e-03	-1.214034e-03
116           	3.317858e-03	2.142267e+01	4.173108e-03	5.404412e-03	-1.231304e-03
117           	3.363959e-03	2.134144e+01	4.234958e-03	5.481438e-03	-1.246481e-03
118           	3.409623e-03	2.126159e+01	4.291393e-03	5.555319e-03	-1.263927e-03
119           	3.456444e-03	2.118262e+01	4.354084e-03	5.633486e-03	-1.279402e-03
120           	3.502798e-03	2.110495e+01	4.411529e-03	5.708563e-03	-1.297034e-03
121           	3.550474e-03	2.102814e+01	4.475297e-03	5.788123e-03	-1.312826e-03
122           	3.597771e-03	2.095257e+01	4.534198e-03	5.864870e-03	-1.330673e-03
123           	3.646387e-03	2.087783e+01	4.599113e-03	5.945943e-03	-1.346830e-03
124           	3.694538e-03	2.080428e+01	4.659161e-03	6.024119e-03	-1.364958e-03
125           	3.744030e-03	2.073154e+01	4.725074e-03	6.106567e-03	-1.381493e-03
126           	3.792987e-03	2.065993e+01	4.786177e-03	6.186075e-03	-1.399898e-03
127           	3.843380e-03	2.058910e+01	4.853094e-03	6.269927e-03	-1.416833e-03
128           	3.893186e-03	2.051936e+01	4.915347e-03	6.350860e-03	-1.435513e-03
129           	3.944461e-03	2.045037e+01	4.983359e-03	6.436140e-03	-1.452781e-03
130           	3.995091e-03	2.038242e+01	5.046816e-03	6.518499e-03	-1.471683e-03
131           	4.046828e-03	2.031528e+01	5.113974e-03	6.603815e-03	-1.489841e-03
132           	4.098888e-03	2.024895e+01	5.181646e-03	6.689712e-03	-1.508065e-03
133           	4.151258e-03	2.018353e+01	5.249422e-03	6.775969e-03	-1.526546e-03
134           	4.204087e-03	2.011889e+01	5.317877e-03	6.863025e-03	-1.545148e-03
135           	4.257320e-03	2.005512e+01	5.386749e-03	6.950695e-03	-1.563945e-03
136           	4.310960e-03	1.999209e+01	5.456324e-03	7.039122e-03	-1.582798e-03
137           	4.365015e-03	1.992990e+01	5.526372e-03	7.128201e-03	-1.601829e-03
138           	4.419511e-03	1.986842e+01	5.597184e-03	7.218103e-03	-1.620919e-03
139           	4.474421e-03	1.980775e+01	5.668428e-03	7.308635e-03	-1.640207e-03
140           	4.529772e-03	1.974777e+01	5.740382e-03	7.399963e-03	-1.659581e-03
141           	4.585517e-03	1.968857e+01	5.812729e-03	7.491881e-03	-1.679152e-03
142           	4.641679e-03	1.963004e+01	5.885823e-03	7.584590e-03	-1.698767e-03
143           	4.698215e-03	1.957226e+01	5.959328e-03	7.677879e-03	-1.718551e-03
144           	4.755163e-03	1.951511e+01	6.033607e-03	7.771967e-03	-1.738360e-03
145           	4.812554e-03	1.945870e+01	6.108442e-03	7.866774e-03	-1.758333e-03
146           	4.870366e-03	1.940291e+01	6.184005e-03	7.962369e-03	-1.778363e-03
147           	4.928570e-03	1.934782e+01	6.259940e-03	8.058540e-03	-1.798600e-03
148           	4.987227e-03	1.929332e+01	6.336680e-03	8.155566e-03	-1.818887e-03
149           	5.046312e-03	1.923951e+01	6.413883e-03	8.253254e-03	-1.839371e-03
150           	5.105836e-03	1.918627e+01	6.491859e-03	8.351766e-03	-1.859907e-03
151           	5.165791e-03	1.913369e+01	6.570296e-03	8.450939e-03	-1.880643e-03
152           	5.226172e-03	1.908166e+01	6.649457e-03	8.550900e-03	-1.901443e-03
153           	5.287022e-03	1.903028e+01	6.729154e-03	8.651599e-03	-1.922445e-03
154           	5.348296e-03	1.897943e+01	6.809524e-03	8.753058e-03	-1.943534e-03
155           	5.409957e-03	1.892920e+01	6.890279e-03	8.855096e-03	-1.964818e-03
156           	5.472080e-03	1.887948e+01	6.971824e-03	8.957992e-03	-1.986168e-03
157           	5.534662e-03	1.883037e+01	7.053831e-03	9.061577e-03	-2.007746e-03
158           	5.597672e-03	1.878174e+01	7.136559e-03	9.165952e-03	-2.029393e-03
159           	5.661127e-03	1.873371e+01	7.219763e-03	9.271009e-03	-2.051246e-03
160           	5.725016e-03	1.868615e+01	7.303708e-03	9.376870e-03	-2.073162e-03
161           	5.789343e-03	1.863916e+01	7.388158e-03	9.483422e-03	-2.095264e-03
162           	5.854101e-03	1.859263e+01	7.473342e-03	9.590772e-03	-2.117430e-03
163           	5.919289e-03	1.854666e+01	7.558987e-03	9.698783e-03	-2.139796e-03
164           	5.984905e-03	1.850112e+01	7.645340e-03	9.807575e-03	-2.162235e-03
165           	6.050929e-03	1.845612e+01	7.732110e-03	9.916984e-03	-2.184874e-03
166           	6.117364e-03	1.841155e+01	7.819589e-03	1.002716e-02	-2.207569e-03
167           	6.184220e-03	1.836750e+01	7.907528e-03	1.013798e-02	-2.230455e-03
168           	6.251508e-03	1.832386e+01	7.996238e-03	1.024963e-02	-2.253389e-03
169           	6.319249e-03	1.828074e+01	8.085467e-03	1.036198e-02	-2.276516e-03
170           	6.387437e-03	1.823800e+01	8.175511e-03	1.047519e-02	-2.299681e-03
171           	6.456036e-03	1.819577e+01	8.266040e-03	1.058906e-02	-2.323016e-03
172           	6.525059e-03	1.815391e+01	8.357339e-03	1.070373e-02	-2.346390e-03
173           	6.594493e-03	1.811254e+01	8.449058e-03	1.081902e-02	-2.369964e-03
174           	6.664347e-03	1.807153e+01	8.541538e-03	1.093512e-02	-2.393578e-03
175           	6.734603e-03	1.803101e+01	8.634425e-03	1.105182e-02	-2.417390e-03
176           	6.805280e-03	1.799082e+01	8.728094e-03	1.116933e-02	-2.441233e-03
177           	6.876368e-03	1.795111e+01	8.822225e-03	1.128748e-02	-2.465256e-03
178           	6.947857e-03	1.791172e+01	8.917113e-03	1.140641e-02	-2.489301e-03
179           	7.019758e-03	1.787280e+01	9.012463e-03	1.152599e-02	-2.513526e-03
180           	7.092020e-03	1.783419e+01	9.108482e-03	1.164626e-02	-2.537779e-03
181           	7.164679e-03	1.779603e+01	9.204924e-03	1.176714e-02	-2.562217e-03
182           	7.237757e-03	1.775818e+01	9.302135e-03	1.188882e-02	-2.586689e-03
183           	7.311278e-03	1.772076e+01	9.399843e-03	1.201120e-02	-2.611356e-03
184           	7.385207e-03	1.768364e+01	9.498287e-03	1.213435e-02	-2.636063e-03
185           	7.459552e-03	1.764694e+01	9.597172e-03	1.225814e-02	-2.660966e-03
186           	7.534311e-03	1.761053e+01	9.696814e-03	1.238272e-02	-2.685904e-03
187           	7.609494e-03	1.757453e+01	9.796937e-03	1.250796e-02	-2.711025e-03
188           	7.685089e-03	1.753881e+01	9.897814e-03	1.263400e-02	-2.736182e-03
189           	7.761084e-03	1.750350e+01	9.999126e-03	1.276065e-02	-2.761521e-03
190           	7.837474e-03	1.746845e+01	1.010118e-02	1.288806e-02	-2.786885e-03
191           	7.914275e-03	1.743379e+01	1.020372e-02	1.301613e-02	-2.812415e-03
192           	7.991477e-03	1.739940e+01	1.030701e-02	1.314498e-02	-2.837971e-03
