# Force coefficients
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# magUInf     : 2.000000e+01
# lRef        : 1.420000e+00
# Aref        : 7.500000e-01
# CofR        : (7.200000e-01 0.000000e+00 0.000000e+00)
# Time        	Cm            	Cd            	Cl            	Cl(f)         	Cl(r)         
3             	1.184314e-04	2.146410e+03	-1.485368e-03	-6.242528e-04	-8.611155e-04
4             	1.086056e-02	5.829556e+02	9.891144e-04	1.135511e-02	-1.036600e-02
5             	4.852151e-03	2.468775e+02	-1.110814e-03	4.296744e-03	-5.407558e-03
6             	2.976632e-03	1.577118e+02	6.374005e-04	3.295332e-03	-2.657932e-03
7             	-1.490479e-04	1.192903e+02	1.936045e-04	-5.224568e-05	2.458502e-04
8             	-3.277879e-04	1.006560e+02	2.765591e-04	-1.895084e-04	4.660675e-04
9             	-2.629811e-04	8.878459e+01	3.217921e-04	-1.020851e-04	4.238771e-04
10            	1.602269e-05	8.056259e+01	4.560429e-04	2.440441e-04	2.119987e-04
11            	3.095313e-05	7.439937e+01	3.998917e-04	2.308990e-04	1.689927e-04
12            	8.749540e-05	6.958851e+01	3.771207e-04	2.760557e-04	1.010649e-04
13            	1.409727e-04	6.568140e+01	3.760744e-04	3.290099e-04	4.706446e-05
14            	1.886009e-04	6.242942e+01	3.871720e-04	3.821869e-04	4.985077e-06
15            	2.277874e-04	5.966342e+01	4.011399e-04	4.283574e-04	-2.721746e-05
16            	2.595618e-04	5.727360e+01	4.142995e-04	4.667116e-04	-5.241201e-05
17            	2.875480e-04	5.518086e+01	4.284356e-04	5.017658e-04	-7.333016e-05
18            	3.421478e-04	5.332923e+01	4.635443e-04	5.739200e-04	-1.103757e-04
19            	3.475400e-04	5.167259e+01	4.668332e-04	5.809566e-04	-1.141234e-04
